OBJECTID,Estación,Tipo_Dato,Nombre_Arc,Latitud__W,Longitud__,Coordenada_X,Coordenada_Y,Altura__ms,Origen_Car,Receptor,Serie_Rece,Declinaci,Azimut_Ex,Ex__m_,Ey__m_,Ex,Ey,N,S,W,E,Tierra,Ex_1,Ey_1,Ex_12,Ey_12,Azimut_Hx,Hx,Hy,Hz,Ganancia_E,Ganancia_H,Filtro_Pas,Tiempo_Ini,Tiempo_Fin,Tiempo_I_1,Tiempo_F_1,Tiempo_reg,Tiempo_r_1,Banda_2,Banda_3,Banda_4,Ventana_de,Datos_Satu,Observacio,Control_de
11,MC014B,MT,2661626B,4.46297,-75.38723,4735190.932,2051583.882,1997,9377,V86W2,2661,-6.6,0,32,33,975,356,0,0,0,0,0,-0.004265869,0.0186596,0.038712339,0.125301072,0,MT8H7060,MT8H7061,MT8H7065,1,1,1,26/06/2019,27/06/2019,27/06/2019,27/06/2019,20.1,2,4,2,16,60,8,,2
12,MC015B,MT,2660627B,4.4672,-75.3352,4740967.182,2052033.123,2236,9377,V86W2,2660,-6.64,0,50,50,900,800,0,0,0,0,0,-0.0000222,-0.0017,0.0628,0.053,0,MT8H7066,MT8H7067,MT8H7068,-4,-4,1,27/06/2019,28/06/2019,28/06/2019,28/06/2019,17.78333333,3,4,2,16,60,8,,2
13,MC016B,MT,MC016B,4.45762,-75.372,4736879.413,2050986.777,2016,9377,MTU5A,4299,-6.6,0,50,50,616,640,371.2767224,244.9204715,269.27854,370.9429829,253.1036694,0.027957419,0.024179587,0.021346286,0.007337202,0,MT5H3552,MT5H3554,MT5H3557,1,1,1,28/06/2019,29/06/2019,28/06/2019,29/06/2019,19.45,12.40361111,2,2,16,60,8,,3
14,MC018B,MT,2660701A,4.47273,-75.32822,4741743.803,2052642.192,2505,9377,V86W2,2660,-6.64,0,45,50,800,1000,0,0,0,0,0,0.121551862,-0.187994979,0.0311,0.023,90,MT8H7067,MT8H7066,MT8H7068,-4,-4,1,1/07/2019,3/07/2019,2/07/2019,2/07/2019,44.78333333,3,4,2,16,60,6,,2
15,MC019B,MT,MC019B,4.50742,-75.3838,4735587.634,2056498.274,2267,9377,MTU5A,4299,-6.6,0,50,50,1289,1152,844.1835552,445.3474803,618.390781,533.7809646,257.4083675,-0.009236194,0.01668876,0.000560761,0.000145739,0,MT5H3552,MT5H3554,MT5H3557,1,1,1,29/06/2019,1/07/2019,29/06/2019,30/06/2019,44.68333333,13.63694444,2,2,16,60,6,,3
16,MC020B,MT,2661628B,4.4748,-75.36938,4737176.33,2052885.719,2408,9377,V86W2,2661,-6.6,0,46,50,227,765,0,0,0,0,0,-0.117001232,-0.046385413,0.054681457,0.032995794,0,MT8H7060,MT8H7061,MT8H7065,1,1,1,28/06/2019,30/06/2019,29/06/2019,29/06/2019,41.48333333,2,4,2,16,60,7,,3
17,MC021B,MT,2660630B,4.49653,-75.40143,4733627.006,2055300.383,2217,9377,V86W2,2660,-6.64,0,50,50,750,1000,0,0,0,0,0,-0.0128,0.0314,0.0577,0.0397,0,MT8H7066,MT8H7067,MT8H7068,-4,-4,1,30/06/2019,1/07/2019,1/07/2019,1/07/2019,20.05,3,4,2,16,60,8,,3
18,MC022B,MT,MC022B,4.51692,-75.37452,4736620.991,2057545.489,2312,9377,MTU5A,4299,-6.6,0,50,50,1159,880,781.5047779,377.7355574,424.8044372,456.0265874,436.876806,-0.010095735,0.025569221,0.003814048,0.005702818,0,MT5H3552,MT5H3554,MT5H3557,1,1,1,1/07/2019,2/07/2019,1/07/2019,2/07/2019,20.05,14.03694444,2,2,16,60,9,,3
19,MC024B,MT,2660703B,4.5224,-75.40892,4732805.171,2058164.08,2029,9377,V86W2,2660,-6.64,0,45,37.1,500,550,0,0,0,0,0,0.0116,-0.0129,0.0145,0.00546,0,MT8H7066,MT8H7067,MT8H7068,-4,-4,1,3/07/2019,5/07/2019,4/07/2019,4/07/2019,43.73333333,3,4,2,16,60,6,,3
20,MC025B,MT,MC025B,4.52122,-75.36347,4737848.884,2058017.014,2368,9377,MTU5A,4299,-6.6,0,48,50,453,433,228.9640519,224.7592176,188.3018313,245.6854014,471.5873136,-0.017300048,0.025913563,0.013651307,0.01616772,0,MT5H3552,MT5H3554,MT5H3557,1,1,1,2/07/2019,3/07/2019,2/07/2019,3/07/2019,22.3,14.27027778,2,2,16,60,7,,3
21,MC028B,MT,MC028B,4.51285,-75.36912,4737218.827,2057093.446,2348,9377,MTU5A,4299,-6.6,0,45,40,1038,1192,660.2563887,378.6016308,345.5017922,847.1040329,678.8365825,-0.0259159,-0.004498351,0.010369105,0.016080101,0,MT5H3552,MT5H3554,MT5H3557,1,1,1,3/07/2019,4/07/2019,3/07/2019,4/07/2019,21.11666667,14.08694444,2,2,16,60,5,,3
22,MC029B,MT,2661703B,4.45433,-75.38968,4734915.903,2050629.283,1693,9377,V86W2,2661,-6.6,0,50,40,1016,2008,0,0,0,0,0,-0.042895555,-0.000691605,0.021919313,0.012514599,0,MT8H7060,MT8H7061,MT8H7065,1,1,1,3/07/2019,4/07/2019,4/07/2019,4/07/2019,18.56666667,3,4,2,16,60,6,,3
23,MC030B,MT,2660706A,4.52033,-75.42108,4731454.838,2057939.645,2444,9377,V86W2,2660,-6.64,0,50,46,520,600,0,0,0,0,0,-0.0119,0.0521,0.0076,0.00734,0,MT8H7066,MT8H7067,MT8H7068,-4,-4,1,6/07/2019,7/07/2019,7/07/2019,7/07/2019,15.06666667,3,4,2,16,60,8,,2
24,MC031B,MT,MC031B,4.50243,-75.37652,4736393.798,2055943.805,2328,9377,MTU5A,4299,-6.6,0,50,50,425,599,209.8080233,215.5490559,269.7743726,330.1767984,146.2235056,-0.00958112,0.01615633,0.025793234,0.130460361,0,MT5H3552,MT5H3554,MT5H3557,1,1,1,4/07/2019,5/07/2019,4/07/2019,5/07/2019,19.56666667,12.53694444,2,2,16,60,7,,3
25,MC032B,MT,2661704B,4.44623,-75.38167,4735802.061,2049730.648,1934,9377,V86W2,2661,-6.6,0,40,50,598,886,0,0,0,0,0,0.039947473,-0.006285775,0.034569429,0.033763919,0,MT8H7060,MT8H7061,MT8H7065,1,1,1,4/07/2019,5/07/2019,5/07/2019,5/07/2019,20.18333333,2,4,2,16,60,7,,3
26,MC034B,MT,MC034B,4.49417,-75.37323,4736755.967,2055029.168,2400,9377,MTU5A,4299,-6.6,0,50,50,926,923,576.8333409,349.6936351,525.0751646,398.7774782,358.444143,0.004104358,-0.010026808,0.002283055,0.004240752,0,MT5H3552,MT5H3554,MT5H3557,1,1,1,5/07/2019,7/07/2019,5/07/2019,6/07/2019,44.7,13.67027778,2,2,16,60,7,,3
27,MC035B,MT,2661705B,4.46017,-75.40603,4733103.271,2051281.028,2174,9377,V86W2,2661,-6.6,0,40,50,102,123,0,0,0,0,0,0.066632374,0.042224102,0.068216523,0.059236176,0,MT8H7060,MT8H7061,MT8H7065,-4,-4,1,5/07/2019,6/07/2019,6/07/2019,6/07/2019,19.13333333,3,4,2,16,60,6,,3
28,MC036B,MT,2660708A,4.50242,-75.39118,4734766.755,2055948.016,2318,9377,V86W2,2660,-6.64,0,40,35.4,750,2000,0,0,0,0,0,-0.00775,-0.0312,0.0585,0.0334,0,MT8H7066,MT8H7067,MT8H7068,-4,-4,1,8/07/2019,9/07/2019,9/07/2019,9/07/2019,15.26666667,3,4,2,16,60,7,,2
29,MC037B,MT,MC037B,4.48435,-75.36767,4737369.53,2053941.207,2720,9377,MTU5A,4299,-6.6,0,45,45,797,1039,278.5750551,518.4313876,447.7883035,591.2890995,283.2217269,-0.082141201,0.015755619,0.096800708,0.021177765,0,MT5H3552,MT5H3554,MT5H3557,1,1,1,8/07/2019,9/07/2019,8/07/2019,9/07/2019,19.74166667,12.73694444,2,2,16,60,9,,3
30,MC038B,MT,2661706C,4.47112,-75.4132,4732311.421,2052494.593,2428,9377,V86W2,2661,-6.6,0,50,50,362,362,0,0,0,0,0,-0.067689641,0.42654486,0.192850231,0.19601736,0,MT8H7060,MT8H7061,MT8H7065,-4,-4,1,6/07/2019,8/07/2019,7/07/2019,7/07/2019,43.6,3,4,2,16,30,7,,3
31,MC039B,MT,2661708B,4.50112,-75.41848,4731736.342,2055814.238,2504,9377,V86W2,2661,-6.6,0,50,50,102,123,0,0,0,0,0,0.309196366,0.193880629,0.05412975,0.053217346,0,MT8H7060,MT8H7061,MT8H7065,-4,-4,1,8/07/2019,9/07/2019,9/07/2019,9/07/2019,15.45,2,4,2,16,60,7,,3
