x,y,gz_mGal
-1.293103448275862206e+02,-1.293103448275862206e+02,-1.928930985741317272e-03
-1.189655172413793025e+02,-1.293103448275862206e+02,-2.122411038726568222e-03
-1.086206896551724128e+02,-1.293103448275862206e+02,-2.330012386664748192e-03
-9.827586206896552312e+01,-1.293103448275862206e+02,-2.549913479015231133e-03
-8.793103448275861922e+01,-1.293103448275862206e+02,-2.779167378321290016e-03
-7.758620689655171532e+01,-1.293103448275862206e+02,-3.013519104570150375e-03
-6.724137931034482563e+01,-1.293103448275862206e+02,-3.247168846428394318e-03
-5.689655172413793593e+01,-1.293103448275862206e+02,-3.472746349871158600e-03
-4.655172413793103203e+01,-1.293103448275862206e+02,-3.681745147332549095e-03
-3.620689655172412813e+01,-1.293103448275862206e+02,-3.864779835566878319e-03
-2.586206896551723844e+01,-1.293103448275862206e+02,-4.012426827102899551e-03
-1.551724137931034875e+01,-1.293103448275862206e+02,-4.116275813430547714e-03
-5.172413793103430635e+00,-1.293103448275862206e+02,-4.169928841292858124e-03
5.172413793103459057e+00,-1.293103448275862206e+02,-4.169928841292858124e-03
1.551724137931034875e+01,-1.293103448275862206e+02,-4.116275347769260406e-03
2.586206896551723844e+01,-1.293103448275862206e+02,-4.012419842183589935e-03
3.620689655172412813e+01,-1.293103448275862206e+02,-3.864768426865339279e-03
4.655172413793104624e+01,-1.293103448275862206e+02,-3.681761445477604866e-03
5.689655172413793593e+01,-1.293103448275862206e+02,-3.472746349871158600e-03
6.724137931034482563e+01,-1.293103448275862206e+02,-3.247168846428394318e-03
7.758620689655174374e+01,-1.293103448275862206e+02,-3.013519104570150375e-03
8.793103448275863343e+01,-1.293103448275862206e+02,-2.779191592708230019e-03
9.827586206896552312e+01,-1.293103448275862206e+02,-2.549913479015231133e-03
1.086206896551724412e+02,-1.293103448275862206e+02,-2.330012386664748192e-03
1.189655172413793025e+02,-1.293103448275862206e+02,-2.122411038726568222e-03
1.293103448275862206e+02,-1.293103448275862206e+02,-1.928930985741317272e-03
1.396551724137931387e+02,-1.293103448275862206e+02,-1.750377588905394077e-03
1.500000000000000000e+02,-1.293103448275862206e+02,-1.586926169693470001e-03
-1.500000000000000000e+02,-1.189655172413793025e+02,-1.725354231894016266e-03
-1.396551724137931103e+02,-1.189655172413793025e+02,-1.914139371365308762e-03
-1.293103448275862206e+02,-1.189655172413793025e+02,-2.122411038726568222e-03
-1.189655172413793025e+02,-1.189655172413793025e+02,-2.350553171709179878e-03
-1.086206896551724128e+02,-1.189655172413793025e+02,-2.598026767373085022e-03
-9.827586206896552312e+01,-1.189655172413793025e+02,-2.863368717953562737e-03
-8.793103448275861922e+01,-1.189655172413793025e+02,-3.143419744446873665e-03
-7.758620689655171532e+01,-1.189655172413793025e+02,-3.433285048231482506e-03
-6.724137931034482563e+01,-1.189655172413793025e+02,-3.726060269400477409e-03
-5.689655172413793593e+01,-1.189655172413793025e+02,-4.012320190668106079e-03
-4.655172413793103203e+01,-1.189655172413793025e+02,-4.280773922801017761e-03
-3.620689655172412813e+01,-1.189655172413793025e+02,-4.518444184213876724e-03
-2.586206896551723844e+01,-1.189655172413793025e+02,-4.711986053735017776e-03
-1.551724137931034875e+01,-1.189655172413793025e+02,-4.849081858992576599e-03
-5.172413793103430635e+00,-1.189655172413793025e+02,-4.920241888612508774e-03
5.172413793103459057e+00,-1.189655172413793025e+02,-4.920241422951221466e-03
1.551724137931034875e+01,-1.189655172413793025e+02,-4.849081858992576599e-03
2.586206896551723844e+01,-1.189655172413793025e+02,-4.711976274847984314e-03
3.620689655172412813e+01,-1.189655172413793025e+02,-4.518444184213876724e-03
4.655172413793104624e+01,-1.189655172413793025e+02,-4.280766472220420837e-03
5.689655172413793593e+01,-1.189655172413793025e+02,-4.012341611087322235e-03
6.724137931034482563e+01,-1.189655172413793025e+02,-3.726028837263584137e-03
7.758620689655174374e+01,-1.189655172413793025e+02,-3.433324396610260010e-03
8.793103448275863343e+01,-1.189655172413793025e+02,-3.143419744446873665e-03
9.827586206896552312e+01,-1.189655172413793025e+02,-2.863329136744141579e-03
1.086206896551724412e+02,-1.189655172413793025e+02,-2.598026767373085022e-03
1.189655172413793025e+02,-1.189655172413793025e+02,-2.350524999201297760e-03
1.293103448275862206e+02,-1.189655172413793025e+02,-2.122425474226474762e-03
1.396551724137931387e+02,-1.189655172413793025e+02,-1.914134249091148376e-03
1.500000000000000000e+02,-1.189655172413793025e+02,-1.725354231894016266e-03
-1.500000000000000000e+02,-1.086206896551724128e+02,-1.870878157205879688e-03
-1.396551724137931103e+02,-1.086206896551724128e+02,-2.087980974465608597e-03
-1.293103448275862206e+02,-1.086206896551724128e+02,-2.330012386664748192e-03
-1.189655172413793025e+02,-1.086206896551724128e+02,-2.598026767373085022e-03
-1.086206896551724128e+02,-1.086206896551724128e+02,-2.892379648983478546e-03
-9.827586206896552312e+01,-1.086206896551724128e+02,-3.211864503100514412e-03
-8.793103448275861922e+01,-1.086206896551724128e+02,-3.553775837644934654e-03
-7.758620689655171532e+01,-1.086206896551724128e+02,-3.912836778908967972e-03
-6.724137931034482563e+01,-1.086206896551724128e+02,-4.280688241124153137e-03
-5.689655172413793593e+01,-1.086206896551724128e+02,-4.645792301744222641e-03
-4.655172413793103203e+01,-1.086206896551724128e+02,-4.993100650608539581e-03
-3.620689655172412813e+01,-1.086206896551724128e+02,-5.304594524204730988e-03
-2.586206896551723844e+01,-1.086206896551724128e+02,-5.561279132962226868e-03
-1.551724137931034875e+01,-1.086206896551724128e+02,-5.744600668549537659e-03
-5.172413793103430635e+00,-1.086206896551724128e+02,-5.840332247316837311e-03
5.172413793103459057e+00,-1.086206896551724128e+02,-5.840332247316837311e-03
1.551724137931034875e+01,-1.086206896551724128e+02,-5.744661670178174973e-03
2.586206896551723844e+01,-1.086206896551724128e+02,-5.561279132962226868e-03
3.620689655172412813e+01,-1.086206896551724128e+02,-5.304594524204730988e-03
4.655172413793104624e+01,-1.086206896551724128e+02,-4.993101116269826889e-03
5.689655172413793593e+01,-1.086206896551724128e+02,-4.645791836082935333e-03
6.724137931034482563e+01,-1.086206896551724128e+02,-4.280688241124153137e-03
7.758620689655174374e+01,-1.086206896551724128e+02,-3.912797663360834122e-03
8.793103448275863343e+01,-1.086206896551724128e+02,-3.553775837644934654e-03
9.827586206896552312e+01,-1.086206896551724128e+02,-3.211923176422715187e-03
1.086206896551724412e+02,-1.086206896551724128e+02,-2.892379648983478546e-03
1.189655172413793025e+02,-1.086206896551724128e+02,-2.598061226308345795e-03
1.293103448275862206e+02,-1.086206896551724128e+02,-2.329994691535830498e-03
1.396551724137931387e+02,-1.086206896551724128e+02,-2.087987726554274559e-03
1.500000000000000000e+02,-1.086206896551724128e+02,-1.870878157205879688e-03
-1.500000000000000000e+02,-9.827586206896552312e+01,-2.021838678047060966e-03
-1.396551724137931103e+02,-9.827586206896552312e+01,-2.270150929689407349e-03
-1.293103448275862206e+02,-9.827586206896552312e+01,-2.549891825765371323e-03
-1.189655172413793025e+02,-9.827586206896552312e+01,-2.863328903913497925e-03
-1.086206896551724128e+02,-9.827586206896552312e+01,-3.211864968761801720e-03
-9.827586206896552312e+01,-9.827586206896552312e+01,-3.595593618229031563e-03
-8.793103448275861922e+01,-9.827586206896552312e+01,-4.012224264442920685e-03
