X,Y,Z,formation
4740700.829,2050024.5,343.3923909,Capa_1
4740700.829,2050350.839,258.7628284,Capa_1
4740700.829,2050505.54,413.463475,Capa_1
4740700.829,2053080.039,510.622236,Capa_1
4740700.829,2053588.368,536.450692,Capa_1
4740700.829,2054190.473,482.034643,Capa_1
4740700.829,2054668.367,224.1920038,Capa_1
4740700.829,2055051.913,17.2541186,Capa_1
4740700.829,2055442.529,-193.4988521,Capa_1
4740700.829,2055956.788,-201.6213794,Capa_1
4740700.829,2056489.808,-210.0402418,Capa_1
4740700.829,2056957.846,-312.3028538,Capa_1
4740700.829,2057425.345,-317.8320828,Capa_1
4740700.829,2058138.009,-317.8320828,Capa_1
4740700.829,2058735.496,-317.8320828,Capa_1
4740700.829,2059288.035,-274.6792369,Capa_1
4740700.829,2059716.732,-206.004367,Capa_1
4740700.829,2060152.726,-136.1606134,Capa_1
4740700.829,2060581.385,133.0290563,Capa_1
4735125,2046517.127,954.442868,Capa_1
4735125,2046849.036,598.02453,Capa_1
4735125,2046971.923,362.4655586,Capa_1
4735125,2047366.175,259.7888139,Capa_1
4735125,2047882.983,346.4698002,Capa_1
4735125,2048262.162,456.86471,Capa_1
4735125,2048758.097,625.482583,Capa_1
4735125,2049106.427,864.790315,Capa_1
4735125,2049319.428,1197.071878,Capa_1
4735123.076,2049712.087,1556.493449,Capa_1
4735125,2056439.031,1811.651036,Capa_1
4735125,2056754.162,2090.014281,Capa_1
4735125,2057357.067,2339.500027,Capa_1
4735125,2058144.836,2548.509637,Capa_1
4735125,2058853.104,2721.365966,Capa_1
4735125,2059470.542,2869.894683,Capa_1
4735125,2059925.178,2987.765091,Capa_1
4735125,2060393.402,3068.968045,Capa_1
4734020.373,2051291,2864.217798,Capa_A
4734371.105,2051291,2344.531554,Capa_A
4734697.872,2051291,1774.855176,Capa_A
4734931.867,2051291,1070.995895,Capa_A
4735090.666,2051291,260.9339334,Capa_A
4735415.939,2051291,-335.8681439,Capa_A
4735838.325,2051291,-607.6746013,Capa_A
4736269.701,2051291,-633.0112192,Capa_A
4736534.373,2051291,-368.328731,Capa_A
4736829.013,2051291,55.4130695,Capa_A
4737080.386,2051291,470.331204,Capa_A
4737301.197,2051291,1238.649974,Capa_A
4737412.788,2051291,1793.157476,Capa_A
4737565.815,2051291,2322.860669,Capa_A
4737808.924,2051291,2961.673579,Capa_A
4735118.012,2050044.142,1974.711207,Capa_A
4735122.488,2049961.018,1493.209777,Capa_A
4735125,2049862.524,1062.738925,Capa_A
4735125,2049739.838,664.919499,Capa_A
4735125,2049962.912,207.410698,Capa_A
4735125,2050172.164,-125.6974225,Capa_A
4735125,2050380.173,-456.826096,Capa_A
4735125,2050763.953,-549.9447469,Capa_A
4735125,2051195.8,-570.3980569,Capa_A
4735125,2051582.656,-518.4643772,Capa_A
4735125,2051896.661,-471.6939703,Capa_A
4735125,2052197.093,-276.1363672,Capa_A
4735125,2052476.34,-13.3226654,Capa_A
4735125,2052647.693,244.3073119,Capa_A
4735125,2052846.919,624.659498,Capa_A
4735125,2052933.963,825.932989,Capa_A
4735125,2052998.803,999.51725,Capa_A
4735125,2053109.003,1294.533531,Capa_A
4735125,2053237.124,1637.524279,Capa_A
4735125,2053330.86,1949.206409,Capa_A
4735125,2053330.86,2263.245118,Capa_A
4735125,2053330.86,2503.725206,Capa_A
4735125,2053295.48,2715.668768,Capa_A
4740700.829,2050599.667,1408.491517,Capa_M
4740700.829,2050600.949,655.327258,Capa_M
4740700.829,2050715.136,-340.0880337,Capa_M
4740700.829,2050979.502,-1103.367011,Capa_M
4740731.945,2051238.75,-2075.676474,Capa_M
4740735.04,2051530.756,-2704.517611,Capa_M
4740700.829,2052128.157,-2864.550529,Capa_M
