x,y,dpred_nT
-1.189655172413793025e+02,-1.189655172413793025e+02,-6.524968405977686903e-01
-1.086206896551724128e+02,-1.189655172413793025e+02,-6.247286568011999330e-01
-9.827586206896552312e+01,-1.189655172413793025e+02,-5.786948487950034359e-01
-8.793103448275861922e+01,-1.189655172413793025e+02,-5.130748740594465174e-01
-7.758620689655171532e+01,-1.189655172413793025e+02,-4.276770344373750921e-01
-6.724137931034482563e+01,-1.189655172413793025e+02,-3.232655747538024094e-01
-5.689655172413793593e+01,-1.189655172413793025e+02,-2.053924406899891031e-01
-4.655172413793103203e+01,-1.189655172413793025e+02,-7.986301715386594224e-02
-3.620689655172412813e+01,-1.189655172413793025e+02,4.175244011192741356e-02
-2.586206896551723844e+01,-1.189655172413793025e+02,1.487066371591410918e-01
-1.551724137931034875e+01,-1.189655172413793025e+02,2.287378304529047723e-01
-5.172413793103430635e+00,-1.189655172413793025e+02,2.713897018364066493e-01
5.172413793103459057e+00,-1.189655172413793025e+02,2.713897018364065383e-01
1.551724137931034875e+01,-1.189655172413793025e+02,2.287378304529048001e-01
2.586206896551723844e+01,-1.189655172413793025e+02,1.490016019004195558e-01
3.620689655172412813e+01,-1.189655172413793025e+02,4.175244011192741356e-02
4.655172413793104624e+01,-1.189655172413793025e+02,-8.025440922275868527e-02
5.689655172413793593e+01,-1.189655172413793025e+02,-2.050081673962790563e-01
6.724137931034482563e+01,-1.189655172413793025e+02,-3.236146187365795956e-01
7.758620689655174374e+01,-1.189655172413793025e+02,-4.273806885395353694e-01
8.793103448275863343e+01,-1.189655172413793025e+02,-5.130748740594466284e-01
9.827586206896552312e+01,-1.189655172413793025e+02,-5.788739043319095501e-01
1.086206896551724412e+02,-1.189655172413793025e+02,-6.247286568012000441e-01
1.189655172413793025e+02,-1.189655172413793025e+02,-6.525849002520460740e-01
1.293103448275862206e+02,-1.189655172413793025e+02,-6.648468689203343995e-01
1.396551724137931387e+02,-1.189655172413793025e+02,-6.644177722513007200e-01
1.500000000000000000e+02,-1.189655172413793025e+02,-6.539010599030474769e-01
-1.500000000000000000e+02,-1.086206896551724128e+02,-6.628600243567939199e-01
-1.396551724137931103e+02,-1.086206896551724128e+02,-6.655737490940349943e-01
-1.293103448275862206e+02,-1.086206896551724128e+02,-6.541402389342118040e-01
-1.189655172413793025e+02,-1.086206896551724128e+02,-6.247286568011999330e-01
-1.086206896551724128e+02,-1.086206896551724128e+02,-5.727092917075955469e-01
-9.827586206896552312e+01,-1.086206896551724128e+02,-4.948002927185888855e-01
-8.793103448275861922e+01,-1.086206896551724128e+02,-3.871330532456891405e-01
-7.758620689655171532e+01,-1.086206896551724128e+02,-2.480044331112430112e-01
-6.724137931034482563e+01,-1.086206896551724128e+02,-8.073254654976383393e-02
-5.689655172413793593e+01,-1.086206896551724128e+02,1.114806961682170833e-01
-4.655172413793103203e+01,-1.086206896551724128e+02,3.149941666625536985e-01
-3.620689655172412813e+01,-1.086206896551724128e+02,5.168020700131156220e-01
-2.586206896551723844e+01,-1.086206896551724128e+02,6.940973759126845000e-01
-1.551724137931034875e+01,-1.086206896551724128e+02,8.284353276168927582e-01
-5.172413793103430635e+00,-1.086206896551724128e+02,9.003664356401130942e-01
5.172413793103459057e+00,-1.086206896551724128e+02,9.003664356401128721e-01
1.551724137931034875e+01,-1.086206896551724128e+02,8.280614768212266608e-01
2.586206896551723844e+01,-1.086206896551724128e+02,6.940973759126843889e-01
3.620689655172412813e+01,-1.086206896551724128e+02,5.168020700131156220e-01
4.655172413793104624e+01,-1.086206896551724128e+02,3.149941666625533654e-01
5.689655172413793593e+01,-1.086206896551724128e+02,1.114806961682170555e-01
6.724137931034482563e+01,-1.086206896551724128e+02,-8.073254654976383393e-02
7.758620689655174374e+01,-1.086206896551724128e+02,-2.485888071559997081e-01
8.793103448275863343e+01,-1.086206896551724128e+02,-3.871330532456895290e-01
9.827586206896552312e+01,-1.086206896551724128e+02,-4.944487080354581510e-01
1.086206896551724412e+02,-1.086206896551724128e+02,-5.727092917075958800e-01
1.189655172413793025e+02,-1.086206896551724128e+02,-6.246000439949211946e-01
1.293103448275862206e+02,-1.086206896551724128e+02,-6.541960781326532359e-01
1.396551724137931387e+02,-1.086206896551724128e+02,-6.655563305363508819e-01
1.500000000000000000e+02,-1.086206896551724128e+02,-6.628600243567939199e-01
-1.500000000000000000e+02,-9.827586206896552312e+01,-6.660536866896707986e-01
-1.396551724137931103e+02,-9.827586206896552312e+01,-6.583335673187175052e-01
-1.293103448275862206e+02,-9.827586206896552312e+01,-6.312462268552373468e-01
-1.189655172413793025e+02,-9.827586206896552312e+01,-5.788739043319097721e-01
-1.086206896551724128e+02,-9.827586206896552312e+01,-4.948002927185888855e-01
-9.827586206896552312e+01,-9.827586206896552312e+01,-3.718699445799300007e-01
-8.793103448275861922e+01,-9.827586206896552312e+01,-2.060028254554361615e-01
-7.758620689655171532e+01,-9.827586206896552312e+01,9.213453313845593531e-03
-6.724137931034482563e+01,-9.827586206896552312e+01,2.696502510767070926e-01
-5.689655172413793593e+01,-9.827586206896552312e+01,5.715634254953870785e-01
-4.655172413793103203e+01,-9.827586206896552312e+01,8.998724712235343093e-01
-3.620689655172412813e+01,-9.827586206896552312e+01,1.225596782214377622e+00
-2.586206896551723844e+01,-9.827586206896552312e+01,1.520370229626678782e+00
-1.551724137931034875e+01,-9.827586206896552312e+01,1.743217480850257850e+00
-5.172413793103430635e+00,-9.827586206896552312e+01,1.864971920925796223e+00
