X,Y,Z,formation
4478478.614,1673047.073,1978.141,B1
4478551.836,1672959.584,1980.746,B1
4478628.215,1672868.324,1982.758,B1
4478706.425,1672774.874,1984.102,B1
4478785.144,1672680.819,1984.702,B1
4478863.042,1672587.743,1984.482,B1
4478938.796,1672497.23,1983.368,B1
4479011.079,1672410.863,1981.285,B1
4479078.742,1672330.018,1978.188,B1
4479141.946,1672254.5,1974.241,B1
4479201.455,1672183.398,1969.705,B1
4479258.034,1672115.795,1964.841,B1
4479312.449,1672050.78,1959.913,B1
4479365.465,1671987.435,1955.184,B1
4479417.847,1671924.848,1950.914,B1
4479470.295,1671862.183,1947.349,B1
4479522.895,1671799.335,1944.515,B1
4479575.401,1671736.601,1942.329,B1
4479627.557,1671674.285,1940.706,B1
4479679.111,1671612.688,1939.564,B1
4479729.809,1671552.113,1938.817,B1
4479779.399,1671492.863,1938.382,B1
4479827.752,1671435.091,1938.178,B1
4479876.234,1671377.163,1938.155,B1
4479927.204,1671316.264,1938.285,B1
4479983.036,1671249.558,1938.538,B1
4480046.102,1671174.206,1938.887,B1
4480118.779,1671087.373,1939.303,B1
4480203.437,1670986.223,1939.758,B1
4480302.255,1670868.158,1940.225,B1
4480414.293,1670734.295,1940.692,B1
4480536.151,1670588.703,1941.159,B1
4480664.355,1670435.527,1941.626,B1
4480795.436,1670278.916,1942.092,B1
4480925.923,1670123.014,1942.559,B1
4481052.345,1669971.97,1943.026,B1
4481171.344,1669829.794,1943.492,B1
4481281.954,1669697.642,1943.923,B1
4481385.472,1669573.965,1944.255,B1
4481483.283,1669457.104,1944.422,B1
4481576.774,1669345.405,1944.358,B1
4481667.331,1669237.214,1943.997,B1
4481756.338,1669130.873,1943.274,B1
4481845.154,1669024.761,1942.125,B1
4481934.314,1668918.239,1940.53,B1
4482023.422,1668811.778,1938.511,B1
4482112.033,1668705.911,1936.097,B1
4482199.703,1668601.172,1933.316,B1
4482285.983,1668498.091,1930.197,B1
4482370.429,1668397.201,1926.767,B1
4482452.604,1668299.025,1923.058,B1
4482532.465,1668203.613,1919.166,B1
4482610.514,1668110.367,1915.281,B1
4482687.286,1668018.647,1911.601,B1
4482763.317,1667927.813,1908.32,B1
4482839.144,1667837.222,1905.637,B1
4482915.302,1667746.235,1903.747,B1
4482992.32,1667654.222,1902.845,B1
4483070.167,1667561.218,1902.945,B1
4483147.911,1667468.337,1903.764,B1
4483224.533,1667376.798,1904.991,B1
4483299.015,1667287.816,1906.32,B1
4483370.337,1667202.608,1907.441,B1
4483437.482,1667122.391,1908.044,B1
4483499.435,1667048.376,1907.824,B1
4483555.669,1666981.194,1906.623,B1
4483606.608,1666920.338,1904.585,B1
4483652.79,1666865.166,1901.888,B1
4483694.75,1666815.038,1898.708,B1
4483733.024,1666769.313,1895.225,B1
4483768.15,1666727.349,1891.616,B1
4483800.661,1666688.509,1888.059,B1
4483830.934,1666652.343,1884.692,B1
4483858.971,1666618.847,1881.557,B1
4483884.719,1666588.087,1878.682,B1
4483908.123,1666560.127,1876.095,B1
4483929.128,1666535.033,1873.823,B1
4483947.679,1666512.87,1871.896,B1
4483963.724,1666493.703,1870.339,B1
4483977.301,1666477.483,1869.164,B1
4483988.724,1666463.835,1868.324,B1
4483998.354,1666452.331,1867.763,B1
4484006.553,1666442.535,1867.424,B1
4484013.683,1666434.017,1867.251,B1
4484020.104,1666426.347,1867.189,B1
