OBJECTID,ID_EstGrav,Tipo_EstGrav,Fecha,Coordenada_X,Coordenada_Y,Sistema_Coordenadas,Latitud,Longitud,Altura_Sobre_NivelMar,Altura_Elipsoidal,GravObs,GravTeor_Elip,GravTeor_Somig,Corr_AireLibre,Anom_AireLibre,CorrBouguer,AnomSimpleBouguer,AnomBouguerTotal,AnomRegional,AnomResidual,Estado,Equipo,AUTOR
29,GRAV_27,1,4/06/2026,4738488.122,2050399.068,9377,4.452352225,-75.35748906,1851.07,1881.836,977612.5445,978063.7928,978063.7928,580.7345896,129.4862534,207.4422532,-77.9559998,-64.35155649,-62.63283455,-1.71872194,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
30,GRAV_28,1,2/06/2026,4738841.458,2050854.398,9377,4.456479842,-75.35431871,1827.25,1858.074,977613.6474,978063.8504,978063.8504,573.4016364,123.1985958,204.8228736,-81.62427773,-63.6855542,-62.6622571,-1.023297096,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
31,GRAV_29,1,1/06/2026,4740268.436,2051058.053,9377,4.458362564,-75.34146775,1974.05,2004.69,977587.9202,978063.8767,978063.8767,618.647334,142.6908009,220.9849373,-78.2941364,-64.3224016,-63.92433751,-0.398064089,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
32,GRAV_30,1,31/05/2026,4740668.466,2051280.033,9377,4.460381372,-75.33786987,1939.79,1970.399,977591.8481,978063.9049,978063.9049,608.0651314,136.0082931,217.2049043,-81.19661118,-65.00487673,-64.29731761,-0.707559115,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
33,GRAV_31,1,31/05/2026,4733193.488,2057739.262,9377,4.518570289,-75.40540851,2103.28,2135.436,977550.3976,978064.7234,978064.7234,658.9955496,144.6697967,235.397588,-90.72779131,-74.17514017,-68.43621955,-5.738920623,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
34,GRAV_32,1,3/06/2026,4732673.421,2058109.991,9377,4.521906964,-75.41010548,1983.26,2015.475,977569.8314,978064.7706,978064.7706,621.975585,127.0363835,222.1738107,-95.1374272,-72.99273827,-68.09123841,-4.901499858,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
35,GRAV_33,1,31/05/2026,4731952.514,2057164.766,9377,4.513338325,-75.41657267,2355.35,2387.535,977507.0492,978064.6493,978064.6493,736.793301,179.193165,263.1874616,-83.99429659,-66.69652448,-65.64730443,-1.049220053,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
36,GRAV_34,1,3/06/2026,4732115.529,2054729.358,9377,4.491321567,-75.41503125,2328.08,2360.161,977514.9092,978064.3388,978064.3388,728.3456846,178.916089,260.1699169,-81.25382787,-57.65689921,-61.22193302,3.565033803,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
37,GRAV_35,1,3/06/2026,4732358.806,2054513.465,9377,4.489376661,-75.41283296,2237.79,2269.836,977532.7147,978064.3114,978064.3114,700.4713896,168.874654,250.2130335,-81.33837956,-59.26276372,-61.51311854,2.250354816,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
38,GRAV_36,1,2/06/2026,4731790.674,2054670.805,9377,4.490782406,-75.41795638,2619.3,2651.431,977458.689,978064.3312,978064.3312,818.2316066,212.5893968,292.2777653,-79.68836848,-56.9790856,-60.82015499,3.841069387,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),UIS
