OBJECTID,ID_EstMag,Tipo,Fecha,Estado,Equipo,Coordenada_X,Coordenada_Y,Sistema_Coordenadas,Latitud,Longitud,Altura_SobreNivelMar,Altura_Elipsoidal,AnomMag,FieldCorr_nT,Std_dev_nT,AUTOR
79,1029,1,11/05/2019,Inactiva,Scintrex ENVI,4734696.681,2049008.519,9377,4.442525,-75.391617,,1780.4,35.6867703,,,SGC
80,1030,1,10/05/2019,Inactiva,Scintrex ENVI,4733185.509,2049908.089,9377,4.450615,-75.405258,,1746.5,71.81221181,,,SGC
81,1031,1,10/05/2019,Inactiva,Scintrex ENVI,4732321.953,2049973.719,9377,4.451183,-75.41304,,1799.7,46.6578205,,,SGC
82,1032,1,10/05/2019,Inactiva,Scintrex ENVI,4730348.485,2049620.872,9377,4.447934,-75.430809,,2045.4,104.3193849,,,SGC
83,1033,1,"13/05/2019, 18/05/2019",Inactiva,Scintrex ENVI,4732000.236,2057460.252,9377,4.518869,-75.416161,,2334.5,-20.0618767,,,SGC
84,1034,1,"13/05/2019, 18/05/2019",Inactiva,Scintrex ENVI,4731055.969,2057662.015,9377,4.520665,-75.424675,,2624.9,33.58540913,,,SGC
85,1035,1,"13/05/2019, 18/05/2019",Inactiva,Scintrex ENVI,4731606.707,2058268.326,9377,4.526164,-75.419731,,2197.1,19.56483013,,,SGC
86,1036,1,"14/05/2019, 18/05/2019",Inactiva,Scintrex ENVI,4731157.756,2056966.605,9377,4.51438,-75.423737,,2638.9,68.18482834,,,SGC
87,1037,1,15/05/2019,Inactiva,Scintrex ENVI,4731302.859,2055276.611,9377,4.499103,-75.422379,,2880.2,-102.9665599,,,SGC
88,1038,1,15/05/2019,Inactiva,Scintrex ENVI,4731311.541,2054313.106,9377,4.490391,-75.422272,,2940.5,-44.02899069,,,SGC
89,1039,1,15/05/2019,Inactiva,Scintrex ENVI,4731369.777,2053228.783,9377,4.480588,-75.421715,,2667.8,-4.411190327,,,SGC
90,1040,1,16/05/2019,Inactiva,Scintrex ENVI,4731366.913,2052361.421,9377,4.472745,-75.421715,,2992.9,-11.061678,,,SGC
91,1041,1,16/05/2019,Inactiva,Scintrex ENVI,4731103.534,2051320.845,9377,4.463328,-75.424057,,2654.6,12.87059001,,,SGC
92,1042,1,17/05/2019,Inactiva,Scintrex ENVI,4732058.081,2055995.168,9377,4.505623,-75.415596,,2395.1,-11.35532369,,,SGC
93,1043,1,17/05/2019,Inactiva,Scintrex ENVI,4731811.348,2051792.957,9377,4.467618,-75.417694,,2660.5,23.78299867,,,SGC
94,1044,1,6/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4735498.245,2057996.355,9377,4.523821,-75.384659,,2915.4,-4.625107554,,,SGC
95,1045,1,6/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4734947.685,2057160.891,9377,4.51625,-75.389595,,2734.3,51.37967969,,,SGC
96,1046,1,7/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4737941.828,2057955.978,9377,4.523528,-75.36264,,2362.3,35.95394826,,,SGC
97,1047,1,7/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4737289.434,2057329.299,9377,4.517842,-75.3685,,2326.7,36.77768493,,,SGC
98,1048,1,7/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4737235.217,2056800.535,9377,4.513059,-75.368973,,2360,11.69167536,,,SGC
99,1049,1,"08/07/2019, 17/07/2019",Inactiva,Scintrex ENVI / Geometrics G-856 AX,4736380.699,2057768.309,9377,4.521785,-75.376701,,2584.7,10.20439257,,,SGC
100,1050,1,"08/07/2019, 17/07/2019",Inactiva,Scintrex ENVI / Geometrics G-856 AX,4735745.052,2057076.444,9377,4.51551,-75.382408,,2514.1,10.25397813,,,SGC
101,1051,1,9/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4733492.719,2058349.878,9377,4.526958,-75.40274,,2396.6,-78.1048496,,,SGC
102,1052,1,9/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4734521.694,2056881.392,9377,4.51371,-75.393425,,2538.8,-27.1317872,,,SGC
103,1053,1,"10/07/2019, 24/07/2019",Inactiva,Scintrex ENVI / Geometrics G-856 AX,4733937.978,2057036.478,9377,4.515095,-75.398689,,2365.8,-29.77429292,,,SGC
104,1054,1,"10/07/2019, 24/07/2019",Inactiva,Scintrex ENVI / Geometrics G-856 AX,4736805.057,2054176.468,9377,4.489318,-75.372772,,2442.4,-209.329603,,,SGC
105,1055,1,"10/07/2019, 24/07/2019",Inactiva,Scintrex ENVI / Geometrics G-856 AX,4736882.143,2053681.56,9377,4.484845,-75.372063,,2533,-384.2482269,,,SGC
106,1056,1,12/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4734479.977,2051389.987,9377,4.464053,-75.393639,,1646.3,135.9317552,,,SGC
107,1057,1,12/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4733790.483,2052102.217,9377,4.470473,-75.399872,,1729.6,19.90695364,,,SGC
108,1058,1,12/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4733463.472,2053077.141,9377,4.479279,-75.402847,,1792.8,-27.35959016,,,SGC
109,1059,1,17/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4733112.111,2053865.806,9377,4.4864,-75.406036,,1906.8,-159.0509067,,,SGC
110,1060,1,13/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4732827.543,2054880.194,9377,4.495564,-75.40863,,1921.8,-124.1718892,,,SGC
111,1061,1,14/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4734924.691,2054003.977,9377,4.487703,-75.389709,,2719.6,-1064.367657,,,SGC
112,1062,1,14/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4735541.536,2054130.915,9377,4.488869,-75.384155,,2733.6,-926.4861408,,,SGC
113,1063,1,15/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4737301.219,2053917.416,9377,4.48699,-75.368294,,2745.2,-185.8991865,,,SGC
114,1064,1,15/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4737787.741,2053800.393,9377,4.485946,-75.363907,,2753,-137.6912501,,,SGC
115,1065,1,15/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4737374.081,2053385.144,9377,4.482179,-75.367622,,2672.6,-129.7472501,,,SGC
116,1066,1,15/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4737036.52,2052958.702,9377,4.478313,-75.370651,,2584.7,38.46534893,,,SGC
117,1067,1,15/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4736819.197,2052544.811,9377,4.474564,-75.372597,,2424.6,111.6759748,,,SGC
118,1068,1,16/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4736894.848,2051052.075,9377,4.461068,-75.371872,,2081.9,70.76795877,,,SGC
119,1069,1,16/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4737125.444,2050590.074,9377,4.456897,-75.369781,,2046.2,39.74509274,,,SGC
120,1070,1,16/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4737605.271,2050247.152,9377,4.45381,-75.365448,,2009.2,42.52153659,,,SGC
121,1071,1,16/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4738068.402,2050235.386,9377,4.453717,-75.361275,,1914.3,34.08136544,,,SGC
122,1072,1,19/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4735747.927,2053297.844,9377,4.481342,-75.382271,,2413.6,285.9167175,,,SGC
123,1073,1,19/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4735456.207,2052910.071,9377,4.477827,-75.384888,,2432.5,1192.061296,,,SGC
124,1074,1,19/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4735637.545,2052425.658,9377,4.473452,-75.38324,,2377.6,681.0189858,,,SGC
125,1075,1,20/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4734995.8,2055825.701,9377,4.504178,-75.389122,,2313.2,-438.1637091,,,SGC
126,1076,1,20/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4738683.437,2050314.593,9377,4.454451,-75.355736,,1887.6,36.82349484,,,SGC
127,1077,1,20/07/2019,Inactiva,Scintrex ENVI / Geometrics G-856 AX,4739130.508,2050036.15,9377,4.451946,-75.3517,,1903.4,7.560998328,,,SGC
128,2000,1,21/05/2019,Inactiva,Scintrex ENVI,4735996.659,2053743.482,9377,4.485379,-75.380043,,2537.1,-700.5827342,,,SGC
129,2001,1,20/05/2019,Inactiva,Scintrex ENVI,4734292.772,2053171.53,9377,4.480157,-75.395378,,2368,390.8652346,,,SGC
130,2002,1,20/05/2019,Inactiva,Scintrex ENVI,4734346.287,2053754.273,9377,4.485428,-75.394913,,2379.9,-764.5898766,,,SGC
131,2003,1,20/05/2019,Inactiva,Scintrex ENVI,4734623.614,2054659.537,9377,4.493622,-75.392441,,2406.9,575.0355748,,,SGC
