X,Y,Z,formation
4740590.566,2053395.029,-86.74207368,C4
4740590.566,2053253.216,-386.7449271,C4
4740590.566,2053115.205,-676.9161818,C4
4740590.566,2052916.319,-846.6015506,C4
4740590.566,2052793.337,-1093.443734,C4
4740590.566,2052850.571,-1387.509984,C4
4740590.566,2052977.238,-1670.218848,C4
4740590.566,2053242.788,-1861.742422,C4
4740590.566,2053667.784,-1910.190266,C4
4735148.64,2050426.769,1932.339378,C2
4735148.64,2050321.044,1824.496036,C2
4735148.64,2050074.412,1808.034768,C2
4735148.64,2049841.071,1729.237241,C2
4735148.64,2049641.058,1618.009391,C2
4735148.64,2049475.967,1458.921183,C2
4735148.64,2049274.824,1373.821261,C2
4735148.64,2049062.806,1344.779227,C2
4735148.64,2048778.849,1301.853453,C2
4736727.14,2050184.619,1641.628633,C2
4736727.14,2050102.368,1525.735601,C2
4736727.14,2049827.085,1424.7682,C2
4736727.14,2049660.073,1266.664721,C2
4736727.14,2049660.073,1108.542951,C2
4736727.14,2049562.245,981.9428534,C2
4736727.14,2049397.681,857.6867124,C2
4736727.14,2049242.006,625.9601149,C2
4736727.14,2049200.935,409.0487465,C2
4736727.14,2049236.531,213.2747444,C2
4736727.14,2049236.735,30.63210164,C2
4736727.14,2049212.961,-162.1904549,C2
4736727.14,2049116.056,-340.4607657,C2
4736727.14,2049005.805,-528.7190585,C2
4736727.14,2048781.44,-680.2467435,C2
4737992.727,2048813.618,1561.751462,C2
4737992.727,2049082.09,1501.740494,C2
4737992.727,2049365.991,1478.136289,C2
4737992.727,2049546.51,1405.928429,C2
4737992.727,2049714.91,1347.564804,C2
4737992.727,2049890.614,1284.953381,C2
4737992.727,2050068.596,1167.853395,C2
4737992.727,2050141.453,1027.843119,C2
4737992.727,2050176.322,877.6670368,C2
4737992.727,2050180.991,644.7695914,C2
4737992.727,2050094.933,473.4423546,C2
4737992.727,2049983.451,349.100984,C2
4737992.727,2049767.338,271.5144992,C2
4737992.727,2049675.02,113.2573926,C2
4737992.727,2049599.914,-47.45212098,C2
4737992.727,2049553.646,-160.1688478,C2
4737992.727,2049562.276,-341.8305695,C2
4737992.727,2049472.932,-459.9020685,C2
4737992.727,2049308.988,-461.1263116,C2
4737992.727,2049146.273,-398.2772164,C2
4737992.727,2049060.997,-312.9893924,C2
4737992.727,2048974.775,-152.7332898,C2
4737992.727,2048879.63,-20.16046723,C2
4737992.727,2048724.22,85.38510537,C2
4739380.51,2048866.016,1584.104336,C2
4739380.51,2048994.872,1491.144392,C2
4739380.51,2049259.133,1394.343103,C2
4739380.51,2049474.396,1228.041717,C2
4739380.51,2049716.035,1139.28186,C2
4739380.51,2049969.432,1065.134583,C2
4739380.51,2050160.71,912.8060517,C2
4739380.51,2050156.356,671.224925,C2
4739380.51,2050004.89,443.543458,C2
4739380.51,2049781.091,314.9939371,C2
4739380.51,2049517.19,233.9775369,C2
4739380.51,2049214.079,223.8861982,C2
4739380.51,2048941.862,288.2019575,C2
4739380.51,2048765.409,347.6264098,C2
4736727.14,2058168.658,2479.084504,R2
4736727.14,2058492.678,2406.510239,R2
4736727.14,2058597.506,2214.206497,R2
4736727.14,2058469.197,1973.476139,R2
4736727.14,2058106.184,1891.166794,R2
4736727.14,2057760.433,1931.856536,R2
4736727.14,2057624.779,2075.704763,R2
4736727.14,2057435.225,2283.903007,R2
4736727.14,2057057.473,2299.09258,R2
4736727.14,2056672.992,2241.712664,R2
4736727.14,2056686.552,1994.888336,R2
4736727.14,2056751.459,1762.814249,R2
4736727.14,2056796.962,1536.241448,R2
4736727.14,2056806.929,1282.209985,R2
4736727.14,2056692.687,1051.666149,R2
4736727.14,2056319.918,922.3782774,R2
4736727.14,2055946.982,908.1383985,R2
4736727.14,2055696.235,1043.479216,R2
4736727.14,2055525.267,1239.492756,R2
4736727.14,2055400.128,1425.328261,R2
4736727.14,2055399.002,1748.74934,R2
4736727.14,2055202.217,1960.026474,R2
4736727.14,2054943.7,2116.046105,R2
4736727.14,2054618.046,2179.96114,R2
4736727.14,2054576.195,2180.436285,R2
4736727.14,2054217.299,2249.150408,R2
4736727.14,2053899.536,2395.322147,R2
4736727.14,2053484.182,2564.95177,R2
4737992.727,2059139.137,2583.80801,R2
4737992.727,2059302.88,2484.61273,R2
4737992.727,2059460.403,2286.670528,R2
4737992.727,2059104.298,2128.798131,R2
4737992.727,2058636.791,1936.451568,R2
4737992.727,2058272.47,1634.021049,R2
4737992.727,2058050.187,1341.436572,R2
4737992.727,2057741.809,932.7920613,R2
4737992.727,2057306.8,670.1133929,R2
4737992.727,2056760.189,417.0677838,R2
4737992.727,2056315.841,342.3042335,R2
4737992.727,2055956.418,429.9702054,R2
4737992.727,2055612.081,651.4120799,R2
4737992.727,2055380.833,966.3311113,R2
4737992.727,2055239.108,1279.660812,R2
4737992.727,2055156.736,1530.844703,R2
4737992.727,2055109.956,1819.910525,R2
4737992.727,2055095.014,1991.717281,R2
4737992.727,2055010.575,2193.372729,R2
4737992.727,2054887.262,2441.914368,R2
4737992.727,2054880.499,2757.570084,R2
4737992.727,2055049.658,2969.528913,R2
4739380.51,2059622.155,2732.435339,R2
4739380.51,2059167.047,2420.526758,R2
4739380.51,2058519.608,2197.53214,R2
4739380.51,2057941.224,2024.784182,R2
4739380.51,2057459.214,1915.875059,R2
4739380.51,2057269.94,1777.572519,R2
4739380.51,2057427.856,1619.194201,R2
4739380.51,2057603.982,1513.436647,R2
4739380.51,2057532.254,1247.043574,R2
4739380.51,2057246.082,1061.077319,R2
4739380.51,2056836.51,953.7700308,R2
4739380.51,2056510.528,983.1364465,R2
4739380.51,2056167.534,1121.464143,R2
4739380.51,2056102.674,1339.776854,R2
4739380.51,2056102.674,1604.294115,R2
4739380.51,2055994.592,1857.431876,R2
4739380.51,2055794.781,2057.242845,R2
4739380.51,2055581.666,2270.357572,R2
4739380.51,2055278.243,2498.600649,R2
4739380.51,2054988.024,2632.035428,R2
4739380.51,2054579.487,2568.983068,R2
4739380.51,2054177.293,2384.155884,R2
4739380.51,2053648.275,2202.231428,R2
4739380.51,2053103.415,2202.231428,R2
4739380.51,2052696.744,2202.231428,R2
4739380.51,2052317.285,2248.357192,R2
4740590.566,2058486.786,2980.67256,R2
4740590.566,2058023.329,2766.467483,R2
4740590.566,2057511.168,2360.338054,R2
4740590.566,2057209.253,2058.407225,R2
4740590.566,2056832.812,2011.515928,R2
4740590.566,2056362.833,2082.986205,R2
4740590.566,2056079.428,2283.450591,R2
4740590.566,2055661.144,2493.558296,R2
4740590.566,2055215.617,2686.798266,R2
4740590.566,2054726.859,2862.288928,R2
4740590.566,2054229.101,2922.165557,R2
4740590.566,2053592.294,2691.228472,R2
4740590.566,2053018.748,2611.459839,R2
4740590.566,2052622.406,2425.932822,R2
4740590.566,2052219.792,2030.576772,R2
4740590.566,2051604.938,1888.933464,R2
4740590.566,2051048.971,2004.060429,R2
4740590.566,2050694.678,2206.924001,R2
4736727.14,2052640.575,2227.908819,C4b
4736727.14,2052865.328,2133.914773,C4b
4736727.14,2053184.283,2115.765325,C4b
4736727.14,2053519.658,1985.002227,C4b
4736727.14,2053644.283,1921.621417,C4b
4736727.14,2053842.897,1794.333614,C4b
4736727.14,2053927.279,1637.218263,C4b
4736727.14,2053992.431,1515.909145,C4b
4736727.14,2054000.978,1326.454374,C4b
4736727.14,2053952.833,1206.199443,C4b
4736727.14,2053787.228,1152.621823,C4b
4736727.14,2053623.322,1166.225255,C4b
4736727.14,2053409.957,1218.740801,C4b
4736727.14,2053265.104,1284.181265,C4b
4736727.14,2053154.891,1394.378954,C4b
4736727.14,2052979.426,1504.4859,C4b
4736727.14,2052855.169,1603.206593,C4b
4736727.14,2052734.652,1739.265644,C4b
4736727.14,2052580.989,1852.132827,C4b
4736727.14,2052348.655,1949.970918,C4b
4736727.14,2052108.607,1991.513584,C4b
4736727.14,2051869.943,2021.830011,C4b
4736727.14,2051641.483,2067.171298,C4b
