X,Y,Z,azimuth,dip,polarity,formation
4736727.14,2059538.214,2391.0927,360,19,1,R1_1
4736727.14,2058997.728,2475.489802,360,19,1,R1_1
4736727.14,2058478.877,2531.662222,360,19,1,R1_1
4736727.14,2058200.456,2476.479911,360,3,-1,R2
4736727.14,2058597.506,2283.818466,180,62,1,R2
4736727.14,2058251.912,1898.988268,180,10,1,R2
4736727.14,2057561.921,2163.537902,360,36,1,R2
4736727.14,2057135.333,2299.09258,360,2,1,R2
4736727.14,2056664.926,2214.837191,360,79,-1,R2
4736727.14,2056703.856,1072.408235,180,30,1,R2
4736727.14,2055633.046,1106.667871,360,45,1,R2
4736727.14,2055245.542,1916.697697,360,34,1,R2
4736727.14,2054482.36,2181.50164,360,14,1,R2
4736727.14,2053687.879,2490.118486,360,9,1,R2
4736727.14,2052736.786,2187.672388,360,37,-1,C4b
4736727.14,2053209.29,2115.765325,360,39,-1,C4b
4736727.14,2053753.09,1865.738986,360,36,-1,C4b
4736727.14,2053794.443,1154.956024,180,12,1,C4b
4736727.14,2053178.437,1370.83704,360,26,1,C4b
4736727.14,2052799.183,1666.412234,360,29,1,C4b
4736727.14,2052157.864,1982.989186,360,16,1,C4b
4736727.14,2051644.373,1880.849173,180,40,1,R1
4736727.14,2051619.918,1499.490225,360,45,-1,R1
4736727.14,2052264.486,1043.990321,360,42,-1,R1
4736727.14,2051863.927,273.2726411,180,9,1,R1
4736727.14,2050982.482,591.8285301,360,36,1,R1
4736727.14,2050624.284,1176.408653,360,38,1,R1
4736727.14,2050805.938,1698.62832,360,39,1,R1
4736727.14,2050115.531,1530.551461,180,37,1,C2
4736727.14,2049515.844,946.9066739,180,40,1,C2
4736727.14,2049248.429,149.3954043,180,47,1,C2
4736727.14,2048953.535,-564.0197138,180,46,1,C2
4736727.14,2055994.321,-748.0907739,180,9,-1,C4
4736727.14,2055500.144,-565.6238029,360,55,-1,C4
4736727.14,2054041.097,-290.6751619,180,12,-1,C4
4736727.14,2052639.618,-1196.838493,180,42,-1,C4
4736727.14,2051292.74,-1373.390117,360,51,-1,C4
4736727.14,2049958.208,-1462.34623,180,34,-1,C4
4736727.14,2050850.506,-2300,360,27,1,C4
4736727.14,2052523.387,-2300,360,1,1,C4
4736727.14,2054132.619,-2300,360,1,1,C4
4736727.14,2056169.609,-2300,360,1,1,C4
4736727.14,2057157.784,-2201.117972,180,45,1,C4
4736727.14,2057850.098,-1327.621099,360,36,-1,C4
4737992.727,2059284.756,2494.710428,360,43,-1,R2
4737992.727,2058824.883,2036.537027,180,26,1,R2
4737992.727,2058059.272,1361.080516,180,24,1,R2
4737992.727,2056999.617,509.9033906,180,22,1,R2
4737992.727,2055372.805,984.2410491,360,39,1,R2
4737992.727,2055096.861,1970.486556,360,39,1,R2
4737992.727,2055099.847,2998.880182,180,38,-1,R2
4737992.727,2053046.411,2622.667526,180,55,1,C4b
4737992.727,2052375.57,2436.120045,180,14,1,C4b
4737992.727,2051695.841,2438.55846,180,8,1,C4b
4737992.727,2051434.72,2317.796897,360,24,-1,R1
4737992.727,2052023.544,2320.559752,360,3,-1,R1
4737992.727,2052236.623,2198.468517,180,42,1,R1
4737992.727,2052222.811,1773.00748,360,60,-1,R1
4737992.727,2052394.668,1051.3518,360,60,-1,R1
4737992.727,2051612.697,803.4652696,360,18,1,R1
4737992.727,2051232.353,1251.849057,360,67,1,R1
4737992.727,2051131.402,1802.876451,360,68,1,R1
4737992.727,2055251.985,-2300,180,1,1,C4
4737992.727,2055594.091,-1733.670207,360,46,-1,C4
4737992.727,2055011.398,-1119.091522,360,47,-1,C4
4737992.727,2053502.631,-787.3733916,180,45,-1,C4
4737992.727,2052340.327,-1393.484514,180,44,-1,C4
4737992.727,2052018.065,-2108.511318,360,40,1,C4
4737992.727,2053229.946,-2300,360,1,1,C4
4737992.727,2049000.411,1509.304062,360,31,-1,C2
4737992.727,2049701.188,1352.30431,360,29,-1,C2
4737992.727,2050071.612,445.6086888,180,25,1,C2
4737992.727,2049577.644,-78.71173968,180,23,1,C2
4737992.727,2049323.161,-464.8723891,360,49,1,C2
4737992.727,2048724.22,85.38510537,360,43,1,C2
4739380.51,2058427.515,2174.509477,180,36,1,R2
4739380.51,2057377.356,1644.440881,360,56,-1,R2
4739380.51,2055782.362,2069.662024,360,47,1,R2
4739380.51,2053702.289,2205.597642,180,26,1,R2
